AirQualityStation,source,num_valid_measurements,mean_2018_2020_valid,unit
STA.DE_DEBY099,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY099.csv,8719,17.291182753823836,µg/m3
STA.DE_DEBY109,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY109.csv,8627,6.8068126465955725,µg/m3
STA.DE_DEHB005,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEHB005.csv,8636,19.481097726889768,µg/m3
STA.DE_DEHB004,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEHB004.csv,8609,18.99439539648159,µg/m3
STA.DE_DEHB002,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEHB002.csv,8708,21.551815568245292,µg/m3
STA.DE_DEHB001,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEHB001.csv,8664,22.866149581027237,µg/m3
STA.DE_DEBY196,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY196.csv,8577,10.510294096385685,µg/m3
STA.DE_DEBY189,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY189.csv,8632,24.349841084410333,µg/m3
STA.DE_DEBY188,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY188.csv,8578,23.543037972318718,µg/m3
STA.DE_DEBY187,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY187.csv,8398,16.5318608485687,µg/m3
STA.DE_DEBY028,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY028.csv,8417,20.065562616479742,µg/m3
STA.DE_DEBY124,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY124.csv,8750,11.623804600429715,µg/m3
STA.DE_DEBY121,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY121.csv,8745,30.24192013400572,µg/m3
STA.DE_DEBY120,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY120.csv,8738,46.407823085359354,µg/m3
STA.DE_DEBY119,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY119.csv,8746,33.453890919067,µg/m3
STA.DE_DEBY118,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY118.csv,8751,30.294432093656724,µg/m3
STA.DE_DEBY115,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY115.csv,8746,66.20001048391838,µg/m3
STA.DE_DEBY113,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY113.csv,8245,17.668749794411156,µg/m3
STA.DE_DEBY111,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY111.csv,8521,29.801245289620937,µg/m3
STA.DE_DEBY110,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY110.csv,8730,43.057853432151205,µg/m3
STA.DE_DEBY122,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY122.csv,8065,7.679127783040299,µg/m3
STA.CZ_BBDN,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_BBDN.csv,23480,22.44367120829046,µg/m3
STA.DE_DEBY021,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY021.csv,8750,24.360411021384,µg/m3
STA.DE_DEBY013,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY013.csv,8555,13.523031122243134,µg/m3
STA.DE_DEBW059,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW059.csv,8485,12.470265170401886,µg/m3
STA.DE_DEBW052,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW052.csv,8563,19.646537424962048,µg/m3
STA.DE_DEBW046,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW046.csv,8575,17.03991836381341,µg/m3
STA.DE_DEBW042,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW042.csv,8577,27.117360378850414,µg/m3
STA.DE_DEBW039,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW039.csv,8548,14.3589377597321,µg/m3
STA.DE_DEBW038,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW038.csv,8584,21.20914491724022,µg/m3
STA.DE_DEBW033,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW033.csv,8577,24.606295903954763,µg/m3
STA.DE_DEBW031,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW031.csv,8509,4.639522854669174,µg/m3
STA.DE_DEBW029,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW029.csv,8585,21.729959227663365,µg/m3
STA.DE_DEBW027,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW027.csv,8584,24.91685693952586,µg/m3
STA.DE_DEBW024,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW024.csv,8577,25.147394190310134,µg/m3
STA.DE_DEBW023,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW023.csv,8574,17.5712269617833,µg/m3
STA.DE_DEBW019,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW019.csv,8584,26.640587135210858,µg/m3
STA.DE_DEBW015,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW015.csv,8564,27.827475475209017,µg/m3
STA.DE_DEBW013,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW013.csv,8581,27.073499588461722,µg/m3
STA.DE_DEBW010,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW010.csv,8574,16.151586187319808,µg/m3
STA.DE_DEBW073,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW073.csv,8199,20.18346139422857,µg/m3
STA.DE_DEBW076,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW076.csv,8575,16.315137022744025,µg/m3
STA.DE_DEBW084,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW084.csv,8587,19.14848025726214,µg/m3
STA.DE_DEBW099,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW099.csv,8537,46.156249263982666,µg/m3
STA.DE_DEBY012,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY012.csv,8727,21.291156067962643,µg/m3
STA.DE_DEBY009,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY009.csv,8745,23.881602931374502,µg/m3
STA.DE_DEBY007,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY007.csv,8747,25.799513101398198,µg/m3
STA.DE_DEBY006,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY006.csv,8722,28.139105450210963,µg/m3
STA.DE_DEBY005,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY005.csv,8755,27.704064293902913,µg/m3
STA.DE_DEBY004,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY004.csv,8489,15.788941376596775,µg/m3
STA.DE_DEBY001,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY001.csv,8748,31.076201419348422,µg/m3
STA.DE_DEBW156,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW156.csv,8585,34.15422247724287,µg/m3
STA.DE_DEBY020,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBY020.csv,8749,16.640046943626697,µg/m3
STA.DE_DEBW152,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW152.csv,8581,51.62190886455891,µg/m3
STA.DE_DEBW136,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW136.csv,8579,45.87647744102693,µg/m3
STA.DE_DEBW122,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW122.csv,8550,50.048035083892394,µg/m3
STA.DE_DEBW120,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW120.csv,8570,45.35113185144808,µg/m3
STA.DE_DEBW118,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW118.csv,8575,70.80151603133528,µg/m3
STA.DE_DEBW117,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW117.csv,8544,50.72605336680712,µg/m3
STA.DE_DEBW116,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW116.csv,8583,64.89290457505301,µg/m3
STA.DE_DEBW112,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW112.csv,8578,13.838995100167871,µg/m3
STA.DE_DEBW107,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW107.csv,8562,20.632095301227523,µg/m3
STA.DE_DEBW147,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEBW147.csv,8567,52.51931831063967,µg/m3
STA.DE_DEHB006,/media/data/eea/europe_2020/NO2_2018_2020_STA.DE_DEHB006.csv,8713,37.6934534563675,µg/m3
STA.CZ_AVYN,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_AVYN.csv,23603,32.63999067781087,µg/m3
STA.CZ_ARIE,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_ARIE.csv,23207,22.268457791693454,µg/m3
STA.03.0401,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0401.csv,8344,10.993226580964764,µg/m3
STA.03.0202,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0202.csv,8339,7.434895820689531,µg/m3
STA.03.0201,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0201.csv,8369,13.342923911580835,µg/m3
STA.03.0104,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0104.csv,8335,22.074066803008996,µg/m3
STA.03.0101,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0101.csv,8335,20.51619862175645,µg/m3
STA.03.0065,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0065.csv,8373,16.46115564782635,µg/m3
STA.02.SP10,/media/data/eea/europe_2020/NO2_2018_2020_STA.02.SP10.csv,8315,9.10407136674083,µg/m3
STA.03.0403,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0403.csv,8375,12.999701595129553,µg/m3
STA.03.0502,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0502.csv,8004,5.998770507266367,µg/m3
STA.03.0601,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0601.csv,8298,11.475422149734877,µg/m3
STA.03.2701,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.2701.csv,8353,18.784969533663357,µg/m3
STA.03.2604,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.2604.csv,8361,12.22432682366583,µg/m3
STA.03.2501,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.2501.csv,8351,17.578080445367025,µg/m3
STA.03.2302,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.2302.csv,8359,29.415270411703553,µg/m3
STA.03.2301,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.2301.csv,8360,19.748374132776313,µg/m3
STA.03.1904,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1904.csv,8323,8.052078003065,µg/m3
STA.03.1902,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1902.csv,8371,12.3433509259515,µg/m3
STA.03.1901,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1901.csv,8372,12.257842706776158,µg/m3
STA.03.1703,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1703.csv,8353,13.221998267635579,µg/m3
STA.03.1701,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1701.csv,8300,9.88405089383253,µg/m3
STA.03.1502,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1502.csv,8311,5.31684950080977,µg/m3
STA.03.1413,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1413.csv,8370,24.71621084185902,µg/m3
STA.03.1406,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1406.csv,8367,23.352461480200787,µg/m3
STA.03.1402,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1402.csv,8347,21.15629154508566,µg/m3
STA.03.1401,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1401.csv,8343,16.166333977679496,µg/m3
STA.03.1204,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.1204.csv,8358,16.17288702783082,µg/m3
STA.03.0902,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0902.csv,8371,23.373501657574963,µg/m3
STA.03.0599,/media/data/eea/europe_2020/NO2_2018_2020_STA.03.0599.csv,8375,18.934045440488358,µg/m3
STA-SK0407A,/media/data/eea/europe_2020/NO2_2018_2020_STA-SK0407A.csv,8370,26.686128540050177,µg/m3
STA-SK0269A,/media/data/eea/europe_2020/NO2_2018_2020_STA-SK0269A.csv,8489,34.14337378941572,µg/m3
STA-SK0267A,/media/data/eea/europe_2020/NO2_2018_2020_STA-SK0267A.csv,8444,28.046174112740406,µg/m3
STA-SK0266A,/media/data/eea/europe_2020/NO2_2018_2020_STA-SK0266A.csv,8558,40.63761368961908,µg/m3
STA-SK0265A,/media/data/eea/europe_2020/NO2_2018_2020_STA-SK0265A.csv,8547,18.02194058972505,µg/m3
STA-SK0263A,/media/data/eea/europe_2020/NO2_2018_2020_STA-SK0263A.csv,8222,10.330436154005108,µg/m3
STA-SK0214A,/media/data/eea/europe_2020/NO2_2018_2020_STA-SK0214A.csv,8391,34.282853676237636,µg/m3
STA-SK0134A,/media/data/eea/europe_2020/NO2_2018_2020_STA-SK0134A.csv,8615,11.294866507094603,µg/m3
